Name,Gender,Period,Political Party,Position,Early Life,Education,Political Career,Family
William Gopallawa,Male,22 May 1972 - 4 February 1978,Independent,President,"b'William Gopallawa was born on 17 September 1896 at the Dullewe Maha Walauwa, Dullewe, Aluvihare, a suburb of Matale. He is related to Dullewe Dissava, a signatory on behalf of the Sinhalese to the Kandiyan Convention of 1815, by his mother Tikiri Kumarihamy Dullewe. His father, Tikiri Bandara Gopallawa died when he was three years old.'","b""He received his primary education at the Dullewe village school and at St. John's College, Kandy. He continued his secondary education at Dharmaraja College, Kandy where he was a Scout and later moved to St. Anthony's College, Kandy. After having sat the Cambridge Senior Certificate Examination in 1917 he returned to Matale and joined as one of the tutorial staff of the Buddhist English School and was also instrumental in setting up a library and a Scout troop for the benefit of the students there.""","b'In 1926 Gopallawa contested and won in the Matale Urban Council Elections and served continuously in the council for a period of 13 years from 1926 to 1939. He served as the chairman of the Matale Urban Council for 5 years, at his office he was the youngest Urban Council Chairman in Ceylon at that time. In 1936 Gopallawa unsuccessfully contested for the Matale seat at the State Council Elections in 1936. In 1939 the Kandy Municipal Council was established and Gopallawa was appointed as the first Municipal Commissioner of Kandy. He served in that capacity throughout World War II and acquitted himself for efficiency during the great floods in 1950. In 1951 he was appointment as Municipal Commissioner of Colombo Municipal Council and served until 1957 when he stepped down from the post. He was appointed a Member of the Order of the British Empire in the 1953 Coronation Honours.'","b'On 8 March 1928, Gopallawa married Seelawathie Rambukwella; they had 5 children. He was survived by 4 children out of 5. One died early on while he was still working in Matale. His eldest daughter Chandrika Iranganie married Dr. Mackie Ratwatte, the private secretary and a brother of Sirimavo Bandaranaike. His oldest son Asoka is a entrepreneur businessman, His Second daughter Chinthamani, was a teacher and landed proprietor and his youngest son Monty Gopallawa who died in 2005 was a member of parliament and an affable cabinet minister in the government of President Chandrika Kumaratunga (daughter of Sirimavo Bandaranaike). He had 13 grandchildren; Chandhaka, Dhammika, Mano, Anushka, Devika, Avanthi, Sureka, Lehka, Shiranthani, Ashani, Mahen, Shanika and Dilani.'"
Junius Richard Jayewardene,Male,4 February 1978 - 2 January 1989,United National Party,President,"b'Born to a prominent Ceylonese family with a strong association with the legal profession, Jayewardene was the eldest of twelve children, of Hon. Justice Eugene Wilfred Jayewardene KC, a prominent lawyer and Agnes Helen Don Philip Wijewardena daughter of Tudugalage Muhandiram Don Philip Wijewardena a wealthy merchant. He was known as Dickie within his family. His younger brothers included Hector Wilfred Jayewardene, QC and Rolly Jayewardene, FRCP. His uncles were the Colonel Theodore Jayewardene, Justice Valentine Jayewardene and the Press Baron D. R. Wijewardena.'","b'Jayewardene gained admission to Royal College, Colombo for his secondary education. There he excelled in sports, played for the college cricket team, debuting in the Royal-Thomian series in 1925; captained the rugby team in 1924 at the annual ""Royal-Trinity Encounter"" (which later became known as the Bradby Shield Encounter); he was the vice captain of the football team in 1924; and was a member of the boxing team winning sports colours. He was a Senior Cadet; Captain, Debating Team; Editor, College Magazine; first Secretary in Royal College Social Services League in 1921 and he became the head prefect in 1925. In later life, he served as President, Board of Control for Cricket in Sri Lanka; President, Sinhalese Sports Club; and Secretary, Royal College Union.'",b'Jayewardene was attracted to national politics in his student years and developed strong nationalist views. He converted from Anglicanism to Buddhism and adopted the national dress as his formal attire.',"b'On 28 February 1935, Jayewardene married the heiress Miss Elina Bandara Rupasinghe, only daughter of Nancy Margaret Suriyabandara and Gilbert Leonard Rupasinghe, a notary public turned successful businessmen. Their only child Ravindra ""Ravi"" Vimal Jayewardene was born the year after.  Having originally settled at Jayewardene\'s parents house Vaijantha, the Jayewardene\'s moved to their own house Braemar in 1938, where they remained the rest of their lives, when not holidaying at their holiday home in Mirissa.'"
Ranasinghe Premadasa,Male,2 January 1989 - 1 May 1993,United National Party,President,"b'Ranasinghe Premadasa was born on 23 June 1924 at Dias Place, Colombo 11, to the family of Richard Ranasinghe (Ranasinghe Mudalali) of Kosgoda and Battuwita Jayasinghe Arachchige Ensina Hamine of Batuwita, Horana. Premadasa was the oldest of five children, three sisters, and one brother. His father was engaged in the transport business in Colombo employing rickshaws.'",b'',"b""Allying with A. E. Goonesinghe, the founder leader of the Ceylon Labour movement, Premadasa started his political career in 1946 joining the Ceylon Labour Party as a full time member and campaigned for Goonesinghe in the 1947 general election. In 1950, he was elected to the Colombo Municipal Council as a member of San Sebastian's Ward.""","b'Premadasa married Hema Wickramatunge, only daughter of Mr. and Mrs. Wickramatunge Arachchige Charles Appuhamy of Bandarawela on 23 June 1964. They had a son, Sajith, and a daughter, Dulanjali. A hard worker, Premadasa was known for raising early and following a strict routine. He lived and work from his private residence and office, Sucharitha even during his tenure as prime minister and president.'"
Dingiri Banda Wijetunga,Male,1 May 1993 - 12 November 1994,United National Party,President,"b""Wijetunga was born on 15 February 1916 to Wijethunga Mudiyanselage Delgahapitiya Arachchila and his wife Manamperi Mudiyanselage Palingumanike Manamperi, as the eldest in a middle class Sinhala Buddhist family living on the outskirts of the then Udunuwara parliamentary seat in the Kandy District of the Central Province in Sri Lanka. He completed his primary education at Waligalla Central College thereafter moved on to St Andrew's College in Gampola.""",b'',b'He closely associated with veteran politicians like George E. de Silva and A. Ratnayaka. A. Ratnayake who was then Minister of Food and Co-operatives in the D.S. Senanayake Cabinet took him as his Private Secretary.',b''
Chandrika Bandaranaike Kumaratunga,Female,12 November 1994 - 19 November 2005,Sri Lanka Freedom Party,President,"b'Chandrika Bandaranaike was born on June 29, 1945, at Wentworth in Guidford Crescent, Colombo to Solomon West Ridgeway Dias Bandaranaike and Sirima Ratwatte Dias Bandaranaike.[citation needed] The family moved the year later to a mansion at Rosmead Place, Colombo purchased by her paternal grandfather.'","b""Chandrika was educated at the St Bridget's Convent, Colombo, and enrolled at the Roman Catholic Aquinas University College, Colombo to study for a law degree. However, in 1967, she left Aquinas without completing her law studies to France on a scholarship from the Institute of French Studies. There she spent one year at the Institut d'etudes politiques d'Aix-en-Provence following a course in the French language and culture. In 1968, she went on to study at the Institut d'Etudes Politiques de Paris (Sciences Po) graduating with a diploma in political science in 1970, thereafter enrolling in a PhD program in development economics, at the Ecole Pratique des Hautes Etudes, Paris, where she studied from 1970 to 1973 She is fluent in Sinhala, English and French.""","b""She returned to Ceylon in 1972, where her mother had become prime minister for a second time in 1970 and launched a wide-ranging programme of socialist reform and faced a violent communist insurrection in 1971. After returning she enrolled in and became active in the SLFP which had been founded by her father and now led by her mother. In 1974, she became an executive committee member of its Women's League.""","b'Chandrika married movie star and politician Vijaya Kumaratunga in 1978, who was assassinated on 16 February 1988, outside his residence in the presence of Chandrika and their two children, then aged five and seven.'"
Mahinda Rajapaksa,Male,19 November 2005 - 9 January 2015,Sri Lanka Freedom Party,President,"b""Rajapaksa spent his formative years at the family home in Medamulana. At the age of six, he was sent to his father's school Richmond College in Galle. Initially he and his elder brother were boarded with a family in Galle, later their mother rented a house in Galle called the 'Singapore House' and moved there to facilitate the education of the growing family. In the mid-fifties the Rajapaksa family moved to Colombo and Mahinda Rajapaksa was admitted to Nalanda College, Colombo. Later in 1957 he transferred to Thurstan College, where he took part in sports such as cricket, rugger and athletics, taking part in the 400m relay team and becoming the putt shot champion.""",b'',"b""In the mid-sixties he started work as a library assistant at the Vidyodaya Pirivena and soon became active in leftwing politics. He became a member of the Ceylon Mercantile Union and was elected it's branch secretary in 1967. His father who had lost his parliamentary seat the 1965 general elections, died in November 1967. The Sri Lanka Freedom Party (SLFP) party leader Sirima Bandaranaike offered the his father's post of SLFP party organiser for the Beliatta electorate to his older brother Chamal. Chamal who had joined the Ceylon Police Force as a Sub-inspector, turndown Mrs Bandaranaike's offer in favour of his younger brother and Mahinda Rajapaksa was appointed as SLFP organiser for Beliatta in 1968.""","b'In 1983, Rajapaksa married Shiranthi Wickremesinghe, a child psychologist and educator. Shiranthi Rajapaksa is the daughter of E. P. Wickremesinghe, a retired commodore of the Sri Lanka Navy.'"
Maithripala Sirisena,Male,9 January 2015 - 18 November 2019,Sri Lanka Freedom Party[N 1],President,"b'Maithripala Sirisena was born as the eldest of a family of 12 with 5 brothers and 6 sisters, on 3 September 1951 in Yagoda, a village in present-day Gampaha District. His father Pallewatte Gamaralalage Albert Sirisena was a World War II veteran who was awarded five acres of paddy land in Polonnaruwa near Parakrama Samudra which resulted in the family moving from Yagoda to Polonnaruwa. His mother, Yapa Appuhamilage Dona Nandawathi, was a school teacher.'",b'',b'',"b'Sirisena is married to Jayanthi Pushpa Kumari, they have two daughters, Chathurika, Dharani, and a son, Daham.'"
Gotabaya Rajapaksa,Male,18 November 2019 - Incumbent,Sri Lanka Podujana Peramuna,President,"b""Gotabaya Rajapaksa was born in Palatuwa in the Matara District, as the fifth of nine siblings, and was brought up in Weeraketiya in the southern rural district of Hambantota. He hails from a well-known political family in Sri Lanka. His father, D. A. Rajapaksa, was a prominent politician, independence agitator, Member of Parliament, Deputy Speaker and Cabinet Minister of Agriculture and Land in Wijeyananda Dahanayake's government. His elder brother, Mahinda Rajapaksa was first elected to parliament as a member of the Sri Lanka Freedom Party at the age of 24 in 1970, who gradually rose through the party ranks becoming the Leader of the Opposition in 2001, Prime Minister in 2004 and the President of Sri Lanka in 2005. Two of his other elder brothers, Chamal Rajapaksa and Basil Rajapaksa, are also current Members of Parliament. He obtained his primary and secondary education at Ananda College, Colombo.""",b'',b'In September 2018 Director of the Anti Corruption Movement revealed a conspiracy to assassinate President Maithripala Sirisena and former Defence Secretary Gotabaya Rajapaksa because the duo are against the drug trade. CID of Sri Lanka Police investigated the issue.',"b'Following his retirement, he read for a postgraduate diploma in information technology from the University of Colombo and joined Informatics, an IT firm based in Colombo as a Marketing Manager in 1992. He subsequently migrated to the United States in 1998 and worked in Loyola Law School in Los Angeles, U.S. as a Systems Integrator and Unix Solaris Administrator.'"
DS Senanayake,Male,24 September 1947 - 22 March 1952,United National Party,Prime Minister,"b'He was born in the village of Botale in the Hapitigam Korale (currently known as Mirigama) on 21 October 1884 to Don Spater Senanayake (18471907) and Dona Catherina Elizabeth Perera Gunasekera Senanayake (18521949). Spater Senanayake had made his fortune in graphite mining and at the time he was expanding into plantations and investments in the arrack renting franchise, later he would be awarded the title of Mudaliyar for his philanthropy. Stephen Senanayake had two elder brothers, Don Charles ""D. C."" Senanayake and Fredrick Richard ""F. R."" Senanayake; and one sister, Maria Frances Senanayake who married F. H. Dias Bandaranaike.'","b""Brought up in a devout Buddhist family, he entered the prestigious Anglican school S. Thomas' College, Mutwal. Never a studious student, he excelled in sports playing cricket and played in the Royal-Thomian. He later played cricket for the Sinhalese Sports Club and Nondescripts Cricket Club. His contemporaries at S. Thomas's includes D. R. Wijewardena, Sir Paul Pieris, Sir Arthur Wijewardena and Sir Francis Molamure.""","b""The three Senanayake brothers were involved in the temperance movement formed in 1912.  When World War I broke out in 1914 they joined the Colombo Town Guard. The brothers were arrested and imprisoned without charges during the 1915 riots. They faced the prospect of execution since the British Governor Sir Robert Chalmers considered the temperance movement as seditious. He was released on a bail bound after 46 days at the Welikada Prison without charges. The heavy-handed suppression of the riots by the British colonial authorities  initiated the modern independence movement led by the educated middle class. Don Stephen and Don Charles were prominent members of the political party Lanka Mahajana Sabha. Fredrick Richard and Don Charles were committed supporters of the Young Men's Buddhist Association.  D. S. Senanayake played an active role in the independence movement, initially in support of his brother Fredrick Richard.""","b'D. S. Senanayake married Molly Dunuwila in 1910. She was the daughter of R. R. Dunuwila, then secretary of the Colombo Municipal Council and Grace Jayatilaka, daughter of Frederick Jayatilaka of the Ceylon Civil Service and District Judge of Kalutara. They had two sons, Dudley Shelton Senanayake (19 June 1911  13 April 1973) and Robert Parakrama Senanayake (8 April 1913  26 April 1986). His eldest son, Dudley Shelton Senanayake, succeeded him as Prime Minister in 1952, followed by his nephew, Sir John Kotelawala (18971980) in 1953, but this nine-year family dynasty ended with the landslide victory of Solomon West Ridgeway Dias Bandaranaike in 1956, campaigning under the ""Sinhala Only"" slogan. Dudley Senanayake regained the premiership brefly in 1960, and served again from 1965 to 1970. Rukman Senanayake, one of his grandsons, served as an cabinet minister and member of parliament.'"
Dudley Senanayake,Male,26 March 1952 - 12 October 1953,United National Party,Prime Minister,"b'Dudley Senanayake was born on 19 June 1911 to the wealthy Senanayake family which was at the time becoming active in local colonial-era politics. His paternal grandfather Mudaliyar Don Spater Senanayake established the family wealth through graphite mining, which he later expanded into plantations and investments in the arrack renting franchise. His parents were Don Stephen Senanayake and Molly Dunuwila. He was the eldest in the family with a younger brother Robert.'","b""Dudley received his secondary education at the prestigious S. Thomas' College, where he excelled in his studies and sports. He became the Head Prefect, captained the college team at cricket at the Royal-Thomian and gained colours in hockey, boxing, and athletics. He won the Victoria Gold Medal for the most outstanding student at S. Thomas'. Senanayake then went on to Corpus Christi College, Cambridge to read for Natural Science Tripos and after graduation gained admission to the Middle Temple as a Barrister.""","b""After returning to Ceylon in 1935, Dudley took oaths as an Advocate of the Supreme Court of Ceylon and briefly embanked on a legal practice under H. V. Perera, KC before entering politics on his father's urging. He was elected from the Dedigama electorate in 1936 to the State Council, while his father was Minister of Agriculture and served as a back-bencher for ten years. As State Councillor of Dedigama, he undertook much development work in his electorate developing roads, hospitals, schools and police stations. \nDuring this time he became active in the Ceylon National Congress (CNC) having been appointed in December 1939 as its joint secretary with J. R. Jayewardene another young lawyer who had been elected to the Colombo Municipal Council. The CNC was urging for the independence of Ceylon to the extent his father, D. S. Senanayake resigned from the congress because he disagreed with its revised aim of achieving complete independence from the British Empire, preferring Dominion status and its inclusion of Marxists. Following his father's resignation, Dudley succeeded his father as Minister of Agriculture and Lands in the second board of ministers of the state council in 1946.""",b''
